,AT,CH,DE,FR,IT
Biomass,15T,H,15T,H,H
Fossil Gas,15T,H,15T,H,H
Fossil Hard coal,15T,H,15T,H,H
Fossil Oil,15T,H,15T,H,H
Geothermal,15T,H,15T,H,H
Hydro Pumped Storage,15T,H,15T,H,H
Hydro Run-of-river and poundage,15T,H,15T,H,H
Hydro Water Reservoir,15T,H,15T,H,H
Other,15T,H,15T,H,H
Other renewable,15T,H,15T,H,H
Solar,15T,H,15T,H,H
Waste,15T,H,15T,H,H
Wind Onshore,15T,H,15T,H,H
Nuclear,15T,H,15T,H,H
Fossil Brown coal/Lignite,15T,H,15T,H,H
Fossil Coal-derived gas,15T,H,15T,H,H
Wind Offshore,15T,H,15T,H,H
