,Neighbour 1,Neighbour 2,Neighbour 3,Neighbour 4,Neighbour 5,Neighbour 6,Neighbour 7,Neighbour 8,Neighbour 9
AL,GR,ME,RS,,,,,,
AT,CH,CZ,DE,HU,IT,SI,,,
BA,HR,ME,RS,,,,,,
BE,DE,FR,GB,NL,,,,,
BG,GR,MK,RO,RS,TR,,,,
BY,LT,UA,,,,,,,
CH,AT,DE,FR,IT,,,,,
CZ,AT,DE,PL,SK,,,,,
DE,AT,BE,CH,CZ,DK,FR,NL,PL,SE
DK,DE,NO,SE,,,,,,
EE,FI,LV,RU,,,,,,
ES,FR,PT,,,,,,,
FI,EE,NO,RU,SE,,,,,
FR,BE,CH,DE,ES,GB,IT,,,
GB,BE,FR,IE,NL,,,,,
GR,AL,BG,IT,MK,TR,,,,
HR,BA,HU,RS,SI,,,,,
HU,AT,HR,RO,RS,SK,UA,,,
IE,GB,,,,,,,,
IT,AT,CH,FR,GR,MT,SI,,,
LT,BY,LV,PL,RU,SE,,,,
LV,EE,LT,RU,,,,,,
MD,GB,RO,,,,,,,
ME,AL,BA,RS,,,,,,
MK,BG,GR,RS,,,,,,
MT,IT,,,,,,,,
NL,BE,DE,GB,NO,,,,,
NO,DK,FI,NL,SE,,,,,
PL,CZ,DE,LT,SE,SK,UA,,,
PT,ES,,,,,,,,
RO,BG,HU,MD,RS,UA,,,,
RS,AL,BA,BG,HR,HU,ME,MK,RO,
RU,EE,FI,LT,LV,UA,,,,
SI,AT,HR,IT,,,,,,
SE,DE,DK,FI,LT,NO,PL,,,
SK,CZ,HU,PL,UA,,,,,
UA,BY,HU,MD,PL,RO,RU,SK,,
TR,BG,GR,,,,,,,
